Txn Hash,Method,Block,Age,From,To,Value,Txn Fee
0x8d03d46bc4abb5ab9de783c068d04be277810b09ea5d8e286f4aea64e4704a4c,Stake,19371022,6 mins ago,0xd5ac8190...054c7C582,0xFdC28cd1...E639be9b1,0,0.00587255
0x061515ddea5f4236bed202044c832db3e0b9df3b9b39392da2e99569b60c43f1,Claim Self Ape C...,19371022,6 mins ago,0x3EaE39e2...B9e8091f3,Apecoin: Staking,0,0.00616585
0xa4979718b1582c2d536797e1d6de1b2272da35d7abbfe540f1b0c76cade66289,Transfer,19371022,6 mins ago,0x223E4896...422801101,Tether: USDT Stablecoin,0,0.00728544
0x7fd7f8694eadf31ebb5d2ad700d6138c111867ce685980a3ce8d729fc1c89da8,Transfer,19371022,6 mins ago,0x995Ba67f...2fF043f7c,Tether: USDT Stablecoin,0,0.0072883
0x1f5e394f9b7270a9d357fe08b9541c24d0eb6595116259766cb22d98b45e2863,Swap,19371022,6 mins ago,0xBeE4791B...CBBd42ed0,Metamask: Swap Router,0,0.02632664
0x7453b95b45308e897e29af67dd19ad5516d3f6b92bc7076441ca464b8b625a7f,Approve,19371022,6 mins ago,0xBeE4791B...CBBd42ed0,0x95CcffaE...dde89F4dE,0,0.00545113
0xfd47409aead2677600f770f0aef96fe7377b46a9d9534b2bc6d9fc0891b86f01,Handle Ops,19371022,6 mins ago,0x65c51459...D708da638,ERC-4337 Entry Point 0.6.0,0,0.01452763
0x95eb059dd32242f7fd599d43e22d6853028c72ff2797a8e2ef1b2d4444122004,Transfer,19371022,6 mins ago,0xC9940083...E6a70060b,0x187fE1a8...0Ff642386,1,0.00242521
0xf0f1085594eef1a523b202b526355cbe73fc17d462972b127bbd1accbcfc2781,Register Continu...,19371022,6 mins ago,0x22A82147...9F18B5F76,0x40864568...5130770fA,0,0.0061693
0xb8f2dcab66e647cb1219c254112ca6705b0a82078a8849b8c565d83b68106502,Approve,19371022,6 mins ago,0x7396ee2f...145E81539,0xC272B96b...a3C15982a,0,0.00721835
0xf3007a601444a3e7904d580aaec5f88713d3428fae6e2a54b1a184c6401ca1b0,Flush Forwarder ...,19371022,6 mins ago,Bitstamp 1,Bitstamp 2,0,0.00783568
0x669e29f4dd457edff02fe69926fcdb428b345fae0359e222ce4d132fc432c31e,Flush Forwarder ...,19371022,6 mins ago,Bitstamp 1,Bitstamp 2,0,0.00652416
0xc1b82418fe6f32c9b5890e492e796cf3d007c80eeba315aeddb3aa1c0b576752,Execute,19371022,6 mins ago,0x9f97bbf3...2Ab6E87D6,0xFA103c21...95e51cdEf,0,0.00466591
0x7f1ecd2276144eadae9430133568fb6f59fbc8ce618028042671f9eb0acf0dfc,Execute,19371022,6 mins ago,0x99DD4975...dC21bF818,Uniswap: Universal Router,0,0.01803648
0xa8248346d808d52aa7a699969babb4099ba1cf0f79e286e6066607841e448032,Execute,19371022,6 mins ago,0x0D12F71c...55a810F1A,Uniswap: Universal Router,0.2,0.01888818
0xb905d05dcb0d75b57a9fc8b2a7450303dc8d329c4f76e97d762ba7f9c46f5de1,Transfer,19371022,6 mins ago,0xe8CfF4a6...1E6B38Bc2,Tether: USDT Stablecoin,0,0.00729416
0x842ece3f9e7bd7e41b146801c2b2546fa9df65282014cb8bf2a76d56c9220379,Swap,19371022,6 mins ago,0x7b22a0c2...C4ebF397B,1inch Network : Aggregation Router V6,7,0.01034768
0x005cf90708f6aea250608ffbe4b426fbb3255e55e79f0a51f31d4e28d4790015,Execute,19371022,6 mins ago,0xa1759a96...F9Da6579F,Uniswap: Universal Router,0,0.03727581
0x306ededc0339041f837124d5be465b2fefab2acb081cd10a8b26700870417400,Register Continu...,19371022,6 mins ago,0x22A82147...9F18B5F76,0x40864568...5130770fA,0,0.01841276
0x13afc5b7e08ee758f4bd9ac1ab70c97f965383538c1562c373ce3b0996bc03bd,Swap,19371022,6 mins ago,0xdF9811AB...1FE9a867F,Metamask: Swap Router,5.65,0.02341181
0xe0fd49f13f39dbbf58de1c9f87f48c294575f3e0fff6682a446b35d193c8cdc4,Transfer,19371022,6 mins ago,0x76E9edd0...0Eab5A561,0xfE5C4685...BBcF0FFc1,0.04145304,0.00244031
0x6258f6e146ce25fb9e041eec11f0d025b3e775a10cca2771d9be813923894fe9,Transfer,19371022,6 mins ago,0x41182Cdd...0EE84C4fa,0x862f30E0...4e8D0Add4,0.50478,0.00244031
0x1170f07a115220ae5945168c8a76d6b0bb5d7fa3253d0d98017a9892e276d785,Transfer,19371022,6 mins ago,0xaB782bc7...8F63ee1bC,0x7D55b67D...5Ba7Aadf0,0.007548081,0.00244094
